tconst,season,episode,title,host
tt0128273,0,K01,Invaders from the Deep,Joel
tt1272026,0,K02,Revenge of the Mysterons from Mars,Joel
tt0131028,0,K03,Star Force: Fugitive Alien II,Joel
tt0060446,0,K04,Gamera vs. Barugon,Joel
tt5176968,0,K05,Gamera,Joel
tt0064360,0,K06,Gamera vs. Gaos,Joel
tt0067123,0,K07,Gamera vs. Zigra,Joel
tt0061695,0,K08,Gamera vs. Guiron,Joel
tt0070531,0,K09,Phase IV,Joel
tt0074350,0,K10,Cosmic Princess,Joel
tt0104463,0,K11,Humanoid Woman,Joel
tt0128224,0,K12,Fugitive Alien,Joel
tt0076650,0,K13,SST: Death Flight,Joel
tt0062582,0,K14,Mighty Jack,Joel
tt0078345,0,K15,Superdome,Joel
tt0078976,0,K16,City on Fire,Joel
tt0094153,0,K17,Time of the Apes,Joel
tt0061976,0,K18,The Million Eyes of Sumuru,Joel
tt0080836,0,K19,Hangar 18,Joel
tt0082642,0,K20,The Last Chase,Joel
tt0085830,0,K21,"The ""Legend of Dinosaurs""",Joel
tt0052320,1,101,The Crawling Eye,Joel
tt0050717,1,102,The Robot vs. The Aztec Mummy,Joel
tt0035009,1,103,The Mad Monster,Joel
tt0061203,1,104,Women of the Prehistoric Planet,Joel
tt0034613,1,105,The Corpse Vanishes,Joel
tt0056961,1,106,The Crawling Hand,Joel
tt0046248,1,107,Robot Monster,Joel
tt0056499,1,108,The Slime People,Joel
tt0046213,1,109,Project Moonbase,Joel
tt0093872,1,110,Robot Holocaust,Joel
tt0064691,1,111,Moon Zero Two,Joel
tt0051139,1,112,Untamed Youth,Joel
tt0050197,1,113,The Black Scorpion,Joel
tt0042897,2,201,Rocketship X-M,Joel
tt0061671,2,202,The Sidehackers,Joel
tt0040500,2,203,Jungle Goddess,Joel
tt0061456,2,204,Catalina Caper,Joel
tt0055380,2,205,Rocket Attack U.S.A.,Joel
tt0056415,2,206,Ring of Terror,Joel
tt0062493,2,207,Wild Rebels,Joel
tt0043757,2,208,Lost Continent,Joel
tt0061759,2,209,The Hellcats,Joel
tt0048256,2,210,King Dinosaur,Joel
tt0053250,2,211,First Spaceship on Venus,Joel
tt0070122,2,212,Godzilla vs. Megalon,Joel
tt0060464,2,213,Godzilla vs. the Sea Monster,Joel
tt0086972,3,301,Cave Dwellers,Joel
tt0059080,3,302,Gamera,Joel
tt0086026,3,303,Pod People,Joel
tt0060446,3,304,Gamera vs. Barugon,Joel
tt0070742,3,305,Stranded in Space,Joel
tt0094153,3,306,Time of the Apes,Joel
tt0052719,3,307,Daddy-O,Joel
tt0061695,3,308,Gamera vs. Gaos,Joel
tt0050118,3,309,The Amazing Colossal Man,Joel
tt0128224,3,310,Fugitive Alien,Joel
tt0049370,3,311,It Conquered the World,Joel
tt0064360,3,312,Gamera vs. Guiron,Joel
tt0051570,3,313,Earth vs. the Spider,Joel
tt0063300,3,314,Mighty Jack,Joel
tt0052279,3,315,Teenage Cave Man,Joel
tt0067123,3,316,Gamera vs. Zigra,Joel
tt0052156,3,317,Viking Women and the Sea Serpent,Joel
tt0131028,3,318,Star Force: Fugitive Alien II,Joel
tt0052378,3,319,War of the Colossal Beast,Joel
tt0051134,3,320,The Unearthly,Joel
tt0058548,3,321,Santa Claus Conquers the Martians,Joel
tt0643072,3,322a,Master Ninja I-a,Joel
tt0643073,3,322b,Master Ninja I-b,Joel
tt0064338,3,323,The Castle of Fu Manchu,Joel
tt0643075,3,324a,Master Ninja II-a,Joel
tt0643069,3,324b,Master Ninja II-b,Joel
tt0064639,4,401,Space Travelers,Joel
tt0052846,4,402,The Giant Gila Monster,Joel
tt0088925,4,403,City Limits,Joel
tt0053337,4,404,Teenagers from Outer Space,Joel
tt0084796,4,405,Being from Another Planet,Joel
tt0053611,4,406,Attack of the Giant Leeches,Joel
tt0052969,4,407,The Killer Shrews,Joel
tt0052782,4,408,Hercules Unchained,Joel
tt0049363,4,409,Indestructible Man,Joel
tt0058311,4,410,Hercules Against the Moon Men,Joel
tt0056211,4,411,The Magic Sword,Joel
tt0054851,4,412,Hercules and the Captive Women,Joel
tt0047211,4,413,Manhunt in Space,Joel
tt0054393,4,414,Tormented,Joel
tt0053640,4,415,The Beatniks,Joel
tt0046977,4,416,Fire Maidens of Outer Space,Joel
tt0045655,4,417,Crash of Moons,Joel
tt0059161,4,418,Attack of the The Eye Creatures,Joel
tt0053213,4,419,The Rebel Set,Joel
tt0059290,4,420,The Human Duplicators,Joel
tt0059464,4,421,Monster a Go-Go,Joel
tt0053240,4,422,The Day the Earth Froze,Joel
tt0047898,4,423,Bride of the Monster,Joel
tt0060666,4,424,Manos: The Hands of Fate,Joel
tt0088380,5,501,Warrior of the Lost World,Joel
tt0050381,5,502,Hercules,Joel
tt0048682,5,503,Swamp Diamonds,Joel
tt0060956,5,504,Secret Agent Super Dragon,Joel
tt0046264,5,505,The Magic Voyage of Sinbad,Joel
tt0055946,5,506,Eegah,Joel
tt0037798,5,507,I Accuse My Parents,Joel
tt0062078,5,508,Operation Double 007,Joel
tt0052849,5,509,The Girl in Lovers Lane,Joel
tt0043895,5,510,The Painted Hills,Joel
tt0049287,5,511,Gunslinger,Joel
tt0073396,5,512,Mitchell,Joel
tt0052646,5,513,The Brain That Wouldn't Die,Mike
tt0059786,5,514,Teen-Age Strangler,Mike
tt0061191,5,515,The Wild Wild World of Batwoman,Mike
tt0092532,5,516,Alien from L.A.,Mike
tt0050177,5,517,Beginning of the End,Mike
tt0057859,5,518,The Atomic Brain,Mike
tt0098048,5,519,Outlaw,Mike
tt0042874,5,520,Radar Secret Service,Mike
tt0053241,5,521,Santa Claus,Mike
tt0048701,5,522,Teen-Age Crime Wave,Mike
tt0059878,5,523,Village of the Giants,Mike
tt0054415,5,524,12 to the Moon,Mike
tt0052850,6,601,Girls Town,Mike
tt0044750,6,602,Invasion U.S.A.,Mike
tt0106682,6,603,The Dead Talk Back,Mike
tt0092297,6,604,Zombie Nightmare,Mike
tt0056207,6,605,Colossus and the Headhunters,Mike
tt0057970,6,606,The Creeping Terror,Mike
tt0054691,6,607,Bloodlust!,Mike
tt0075862,6,608,Code Name: Diamond Head,Mike
tt0057507,6,609,The Skydivers,Mike
tt0049922,6,610,The Violent Years,Mike
tt0040530,6,611,Last of the Wild Horses,Mike
tt0058615,6,612,The Starfighters,Mike
tt0055452,6,613,The Sinister Urge,Mike
tt0065343,6,614,San Francisco International,Mike
tt0058267,6,615,Kitten with a Whip,Mike
tt0043954,6,616,Racket Girls,Mike
tt0049358,6,617,The Sword and the Dragon,Mike
tt0052891,6,618,High School Big Shot,Mike
